reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d0312a30-c170-4d91-bb18-9364c0aced61,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Isikan kode L A 5 5 Z B D 2 tanpa spasi ya, toko kertas adalah aplikasi crystal paling lengkap aplikasinya sangat gampang untuk dipahami pemula karena fiturnya yang sederhana selain itu pilihan koin yang disediakan juga banyak awal mujahadah Saya kira bakal ribet ternyata super simple, pilihan koin nya banyak dansimple banget,cocok buat pemula pilihan koin nya banyak banget jadi bisa eksplor investasi",5,10,2.15.0,2025-01-08 11:01:08,,,2.15.0
70494f7e-639a-4ed2-aabb-e06ff87d7ac1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya sangat bagus. Fitur DCA, alert harga, dan Passkey sidik jari membuatnya aman dan nyaman. Cocok untuk pemula, dengan UI/UX sederhana dan banyak pilihan kripto. Biaya transaksi rendah, likuiditas baik, dan layanan CS 24/7. Sangat rekomended!",5,0,2.15.0,2025-01-13 16:03:01,,,2.15.0
724e1a54-39f7-46c2-9475-be930312a3eb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi TokoCrypto bener bener keren! bahkan simpellll n gampang bangett buat yang baru mulai belajar kripto. Proses daftar dan verifikasi juga cepat, fee rendahh Banyak pilihan aset kripto yang bisa dibeli, dan fitur keamanannya mantappp",5,3,2.15.0,2025-01-10 14:00:46,,,2.15.0
dbe872e1-6ff1-46ad-ae3c-21099613decc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tokocrypto ini cocok banget buat yang baru mau mulai investasi kripto. Fiturnya lengkap, dari DCA, alert harga, sampai passkey sidik jari. UI-nya juga intuitif, jadi gampang dipake. Plus, fee-nya kompetitif dan liquidity-nya bagus.",5,0,2.15.0,2025-01-13 14:40:50,,,2.15.0
c3bdd6b1-a63d-4564-aee4-95e92706eae2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi simple cocok buat pemula, banyak pilihan crypto, udah legal lengkap pula, fee nya rendah, kalo mau wd gampang, UI dan UX nya nyaman banget, yang paling penting ada fitur passkey sidik jari biar akun kita lebih aman",5,0,2.15.0,2025-01-12 12:53:42,,,2.15.0
8427e016-fc5a-4759-961a-8e801cda498b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Overall sih udah termasuk bagus ya, aplikasi nya simple dan cepatt, baru nyobain aja udah disuguhin sama fitur - fitur yg lengkap, cocok buat pemula seperti saya yang ingin mencoba trading dalam genggaman(ponsel).. terus berkembang ya TokoCrypto..",5,9,2.15.0,2024-12-18 13:40:32,,,2.15.0
00cf0410-ea2f-434a-97cb-28e0fd4e11b2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"withdraw yang mudah, dan fee yang rendah, sangat rekomen untuk melakukan transaksi di tokocrypto, layanan cs buka 24/7, yang sigap membantu kapanpun, membuat tokocrypto jadi pilihan utama saya dalam bertransaksi ataupun menyimpan aset kripto saya.",5,0,2.15.0,2025-01-14 16:11:01,,,2.15.0
0645e97a-d214-4ffe-b489-26e9649b57f2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Baru nemuin aplikasi yang gampang dipakai sama pemula karna simpel Udah pakai fitur passkey sidik jari jadi lebih aman, banyak pilihan kripto juga, fee rendah, aman udah gitu withdrawnya gampang banget. Pokoknya ini aplikasi trading aman dan terlengkap.",5,5,2.15.0,2025-01-10 13:38:22,,,2.15.0
c08e4a19-0f0d-493e-8831-3476e6fc59fe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi TokoCrypto bener bener keren! bahkan simpellll n gampang bangett buat yang baru mulai belajar kripto. Proses daftar dan verifikasi juga cepat, fee rendahh Banyak pilihan aset kripto yang bisa dibeli",5,1,2.15.0,2025-01-12 16:54:42,,,2.15.0
04ff9b3c-c2ea-4cb2-821c-1f88df0a28a9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Overall ini udah termasuk lengkap dan mudah dipahami untuk pemula apalagi yang profesional... Selain banyak pilihan kripto juga aman dan tentunya lancar gak pakai lama withdraw. Juga Fee rendah dibanding yang lain 👍,5,0,2.15.0,2025-01-11 16:33:15,,,2.15.0
